name;type;state;city;period_from;period_to;grant;id;applicant;use_case;additional_topics;description;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8
Einheitliche EDV Plattform für den ÖGD in Rheinland-Pfalz;Ländermaßnahme (LM);Rheinland-Pfalz;Mainz;01.10.2022;30.09.2024;16.802.834,97;RP-P512LM10001;"Ministerium für Wissenschaft und Gesundheit (MWG) 
(Rheiland-Pfalz)";Impfungen;Sormas, DEMIS;Im öffentlichen Gesundheitsdienst (ÖGD) in Rheinland-Pfalz (RLP) existiert derzeit eine dezentrale, heterogene IT-Landschaft, die den organisatorischen Prinzipen einer Aufbauorganisation folgt und unterschiedliche proprietäre Softwarekomponenten primär eines Herstellers nutzt.;true;true;true;true;true;true;true;true
Modernisierung und Digitalisierung des Öffentlichen Gesundheitsdienstes der kreisfreien Stadt Cottbus/Chóśebuz;Modellprojekt (MP);Brandenburg;Cottbus;01.10.2022;30.09.2024;495.853,00;BB-P512MP10001;Stadtverwaltung Cottbus;Belehrung;Octoware;;false;false;false;false;true;false;false;true
Digitales Gesundheitsamt Oberhavel;Modellprojekt (MP);Brandenburg;Oranienburg;01.10.2022;30.09.2024;440.900,00;BB-P512MP10015;Landkreis Oberhavel;;;;false;false;true;false;true;false;false;false
Digitaler ÖGD Berlin 2025;Ländermaßnahme (LM);Berlin;Berlin;01.10.2022;30.09.2024;15.309.784,70;BE-P512LM10004;SenWGPG – Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung, Berlin;Gesundheitsberatung;DEMIS, Survnet;Im Rahmen des  Projektes sollen eine nachhaltige Digitalisierung und einheitliche Strukturen innerhalb des ÖGD in Berlin sichergestellt werden.  Das Projekt teilt sich in drei Teilprojekte ein: (1) vorbereitende und begleitende Maßnahmen im Sinne eines kontinuierlichen Verbesserungsprozesses (hierzu zählt etwa die Entwicklung einer Digitalisierungssstrategie, die Etablierung moderner Arbeitsplätze und die Konsolidierung der bisherigen IT-Fachverfahren), (2) ein Grundmodul (Schaffung von Schnittstellen, Einführung eines DMS und weiterer IKT-Basisdienste) und (3) verschiedene Fachmodule gemäß Zuständigkeiten nach §2 GDG. Im Rahmen der in den Bereichen umzusetzenden Vorhaben wird unter Berücksichtigung der Anforderungen an Datenschutz und Datensicherheit, die Etablierung von Schnittstellen zu Fachanwendungen wie der E-Akte, der elektronischen Patientenakte (ePA) sowie zu webbasierten Applikationen angestrebt.;true;true;true;true;true;true;true;true
Geschäftsstelle für AOLG UAG Digitalisierung;Ein Land für Alle (ELFA);Berlin;Berlin;01.10.2022;30.09.2024;2.100.000,00;BE-P512LM10E05;SenWGPG – Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung, Berlin;;;Ziel der Geschäftsstelle AOLG UAG Digitalisierung ist die Verbesserung der Interoperabilität im Rahmen einer länderübergreifenden Koordinierung. Die Geschäftsstelle soll dabei entsprechend Förderleitfaden des BMG als zentrale Anlaufstelle für Mitglieder der UAG und weiteren Stakeholdern fungieren, die Koordination der Förderprojekte und ELFA-Maßnahmen zwischen den Bundesländern steuern, dokumentieren und mittels Kollaborationsplattform (Agora) verwalten.;false;true;false;false;true;false;true;true
Digitalisierung ÖGD Baden-Württemberg;Ländermaßnahme (LM);Baden-Württemberg;Stuttgart;01.10.2022;30.09.2024;47.433.723,00;BW-P512LM10003;Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg, Landesgesundheitsamt;Belehrung, Berichterstattung & Monitoring, Gesundheitsberatung, Schuleingangsuntersuchung;;Ziel des Gesamtprojektes ist es, den gesamten ÖGD des Landes Baden-Württemberg digital weiterzuentwickeln. Im Rahmen des Vorprojektes wurde ein übergreifendes Strukturmodell erarbeitet, das den Handlungsrahmen der Digitalisierungsbestrebungen vollständig abdeckt. Dieses Modell deckt die Dimensionen 1) Digitaler Zugang, 2) Infrastruktur, 3) Prozesse, 4) Mitarbeitende, 5) Innovation/Leistung, 6) Digitale Vernetzung und 7) Projekt- und Umsetzungsmanagement ab. In einer Phase der gemeinsamen Entwicklung möglicher Digitalisierungsprojekte mit den Gesundheitsämtern wurden 25 Teilprojekte identifiziert und strukturiert. Diese durch die Gesundheitsämter getragenen PRojekte sollen nun umgesetzt werden.;true;true;true;true;true;true;true;false
COVID-19-Dashboard;Ländermaßnahme (LM);Bayern;Erlangen;01.10.2022;30.09.2024;459.900,00;BY-P512LM10016;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);Impfungen, Berichterstattung & Monitoring;;In der derzeitigen Corona Pandemie unterliegt das Landesamt für Gesundheit und Lebensmittelsicherheit (LGL) einer hohen internen Berichtspflicht, die durch verschiedenste, teils auch externe Datenquellen und -Formate gespeist wird. Derzeit existieren ca. 30 verschiedene Berichte, die zum Teil auf den gleichen Daten beruhen, diese erfassen und darstellen. Ziel des Projekts ist es, ein Dashboard zu erstellen, mit dem Informationen aus bis zu 30 verschiedenen Quellen zunächst zu COVID-19, später auch zu anderen Infektionen, erfasst, ausgewertet und übersichtlich zusammengestellt werden. So soll der Verlauf der Pandemie leichter verfolgt werden können und ein Beitrag zum Infektionsschutz geleistet werden.;false;false;true;false;false;false;true;true
Tool zum Management von Ausbruchsgeschehen und Infektionsgeschehen im Reiseverkehr;Ländermaßnahme (LM);Bayern;Erlangen;01.11.2022;31.10.2024;607.900,00;BY-P512LM10033;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);;;Ziel des Projekts ist es eine Konzepterstellung und Pilotierung eines Ausbruchs-Management-Tools. Dieses Ausbruchs-Management-Tool soll die Erfassung von Ausbrüchen im Reiseverkehr vor Ort sowie die Nachverfolgung erleichtern und dabei auch unterschiedliche Infektionsereignisse miteinander in Beziehung setzen.;false;true;true;false;false;false;false;true
Weiterbildungsoffensive Digitalisierung ÖGD Bayern;Ländermaßnahme (LM);Bayern;Erlangen;01.11.2022;31.10.2024;807.500,00;BY-P512LM10034;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);;;Wissensstände und Kompetenzen im Bereich der digitalen Transformation sind in den 76 bayerischen Gesundheitsämtern sehr unterschiedlich stark ausgeprägt. Das Bayerische Landesamt für Gesundheit und Lebensmittelsicherheit (LGL) möchte eine einheitliche Wissensstruktur im Bereich der digitalen Gesundheit schaffen, um somit alle Beteiligten mit einer flächendeckenden Gesundheitsexpertise zu versorgen.;false;true;false;false;true;true;false;false
Einrichtung eines ÖGD-Bürgerportals (Phase II);Ländermaßnahme (LM);Bayern;Erlangen;01.10.2022;30.09.2024;9.207.087,70;BY-P512LM10035;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);;;Ziel des Projektes ist der Aufbau eines Bürgerportals zu durchgängig medienbruchfreier, digitaler Kommunikation und zum Informationsaustausch zwischen Gesundheitsbehörden, Bürgerinnen und Bürgern, Einrichtungen und Unternehmen. Dazu soll im ersten Schritt eine schnell verfügbare, cloudbasierte Zwischenlösung als Vorstufe des Bürgerportals entwickelt werden. Darauf aufbauend soll ein integriertes, digitales Bürgerportal entwickelt werden, welches auch Online-Zugangs-Gesetz (OZG)-Leistungen und Telematikinfrastruktur-Anwendungen integriert.;false;false;false;false;false;true;true;true
Kollaboratives ÖGD-Handbuch;Ländermaßnahme (LM);Bayern;Erlangen;01.11.2022;31.10.2024;691.718,00;BY-P512LM10037;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);Gesundheitsberatung;;Im Rahmen des vorliegenden Projektes soll eine kollaborative Plattform (ÖGD-Handbuch) entwickelt werden, die Möglichkeiten für die Bündelung von Informationen mit rascher Abrufbarkeit und für einen engen Austausch zwischen den verschiedenen Behörden des Öffentlichen Gesundheitsdienstes (ÖGD) in Bayern bietet. So soll für zukünftige (bspw. pandemische) Gesundheitskrisen, insbesondere im Hinblick auf den Infektionsschutz, eine Zusammenfassung der aktuellen Informationen inkl. der bayerischen Vollzugshinweise und eine niedrigschwellige Kommunikationsmöglichkeit geboten werden, um die knappen personellen Ressourcen optimal einsetzen zu können.;false;true;true;false;false;false;true;false
Rahmenstrategie für die Digitalisierung des ÖGD;Ländermaßnahme (LM);Bayern;München;01.07.2022;30.06.2024;137.500,00;BY-P512LM10039;Bayerisches Staatsministerium für Gesundheit und Pflege;;;Im Zuge des vorliegenden Projektes soll eine bayernweite (Rahmen-) Digitalisierungsstrategie entwickelt werden. Diese soll dazu dienen, Digitalisierungsmaßnahmen in den Gesamtkontext einzuordnen, um so eine fundierte, anpassungsfähige und nachhaltige Grundlage inklusive praktikabler Handlungsempfehlungen für die jeweilige Umsetzung vor Ort zu generieren. Dies zielt darauf ab, den Erfolg und die Wirkung der Digitalisierungsmaßnahmen insgesamt zu erhöhen und somit langfristig eine Resilienz des ÖGD zu schaffen, um bspw. auf zukünftige Gesundheitskrisen wie eine Pandemie schnell und adäquat reagieren zu können.;true;false;true;false;false;false;false;false
Gestaltung effizienter digitaler Prozesse;Ländermaßnahme (LM);Bayern;Erlangen;01.11.2022;31.10.2024;350.000,00;BY-P512LM10040;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);;;Im Rahmen des vorliegenden Projektes soll bayernweit eine einheitliche Grundlage für eine optimierte, prozessorientierte Organisation des öffentlichen Gesundheitsdienstes (ÖGD) realisiert werden. Nach Analyse und Dokumentation der Arbeitsabläufen sowie dem Aufdecken von Schwachstellen sollen insgesamt bessere Workflows in den Gesundheitsbehörden entwickelt werden. Es werden fünf Ziele verfolgt:;true;true;true;false;true;false;false;false
SORMAS in Bayern ab 2023;Ländermaßnahme (LM);Bayern;Erlangen;01.10.2022;30.09.2024;2.648.800,00;BY-P512LM10042;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);;Sormas, DEMIS, Survnet;Ziel der Maßnahme ist es, den derzeit SORMAS nutzenden bayerischen Gesundheitsämtern und weiteren bayerischen Gesundheitsämtern, die SORMAS nutzen werden, über einen Rahmenvertrag eine zentralisiert angebotene Weiternutzung der Software SORMAS inkl. der notwendigen Weiterentwicklungen über den 31.12.2022 hinaus als Software für die Kontaktnachverfolgung zur Verfügung zu stellen.;false;false;true;false;true;false;true;true
Digitalisierung der Ereignismeldungen der Gesundheitsämter;Ländermaßnahme (LM);Bayern;Erlangen;01.11.2022;31.10.2024;537.900,00;BY-P512LM10043;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);Berichterstattung & Monitoring;;Ziel des Vorhabens ist es, ein Onlineportal für Ereignismeldungen der bayerischen Gesundheitsämter an das StMGP und das LGL zu entwickeln. Die Digitalisierung des Meldevorgangs bildet auch die Voraussetzung für eine digitale Surveillance.;false;false;true;false;false;false;true;true
Vereinheitlichung der digitalen Fachanwendungslandschaft im Bereich Wasserhygiene;Ein Land für Alle (ELFA);Bayern;Erlangen;01.10.2022;30.09.2024;4.000.000,00;BY-P512LM10E29;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);Trink- und Badewasserprüfung;;Im Rahmen des vorliegenden Projektes für eine ELFA-Maßnahme soll in den Gesundheitsämtern und Landesbehörden eine einheitliche Softwareausstattung im Vollzug der Wasserhygiene nach Infektionsschutzgesetz (IfSG) geschaffen werden. Diese soll Interoperabilität, zielgerichtete zentrale und gegenseitige Unterstützung gewährleisten sowie den Datenfluss über die SHAPTH-Plattform optimal einbinden.;false;false;true;true;true;false;true;true
Schnittstellenharmonisierung und Austauschplattform Trinkwasserhygiene - SHAPTH;Ein Land für Alle (ELFA);Bayern;Erlangen;01.10.2022;30.09.2024;5.000.000,00;BY-P512LM10E30;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL);Trink- und Badewasserprüfung;;Im Rahmen des Projektes soll eine Harmonisierung der in Deutschland genutzten Datenaustauschformate für (Trink-)Wasseranalysen und damit assoziierter Daten und Kataloge erfolgen. Ein allgemein verwendbares Datenformat soll definiert und eine einheitlich verfügbare Datenaustauschplattform implementiert werden. Diese soll für alle beteiligten Akteurinnen und Akteure in den Tätigkeitsbereichen Trinkwasseruntersuchung, -versorgung, -überwachung und -berichterstattung nutzbar sein. An dieser ELFA-Maßnahme sind alle 16 Bundesländer beteiligt.;false;false;true;true;true;false;true;true
Digitalisierung des Staatlichen Gesundheitsamtes Erlangen-Höchstadt;Modellprojekt (MP);Bayern;Erlangen;01.01.2022;31.12.2023;752.556,00;BY-P512MP10002;Das Staatliche Gesundheitsamt Erlangen-Höchstadt;Belehrung;RPA;;false;false;true;true;true;false;false;true
Steigerung und Weiterentwicklung des digitalen Reifegrades im ÖGD für den Landkreis Forchheim;Modellprojekt (MP);Bayern;Forchheim;01.06.2022;30.06.2024;387.113,00;BY-P512MP10004;Landratsamt Forchheim - Gesundheitsamt;;DEMIS, Survnet;;true;true;false;false;false;true;false;true
Modernisierung der Hard-u. Software Gesundheitsamt Landshut 2022-2024;Modellprojekt (MP);Bayern;Landshut;01.08.2022;31.07.2024;1.198.724,00;BY-P512MP10017;Gesundheitsamt Landshut;Schuleingangsuntersuchung;Äskulab, RPA;;true;false;false;true;false;false;false;true
Digitale Entwicklung sicherer automatisierter Vorgangsbearbeitung unter ganzheitlicher Betrachtung der User Experience;Modellprojekt (MP);Bayern;Neuburg a.d. Donau;01.08.2022;31.08.2024;551.400,00;BY-P512MP10024;Gesundheitsamt Neuburg-Schrobenhausen;;RPA;;true;true;true;true;true;true;false;true
Digitalisierung des Gesundheitsamtes inkl. Softwareroboter;Modellprojekt (MP);Bayern;Pfarrkirchen;01.10.2022;30.09.2024;680.000,00;BY-P512MP10039;Landkreis Rottal-Inn;;DEMIS, ISGA, RPA;;true;true;true;false;false;false;false;true
Modellprojekt Garmisch-Partenkirchen;Modellprojekt (MP);Bayern;Garmisch-Partenkirchen;01.10.2022;30.09.2024;371.300,00;BY-P512MP10041;Landratsamt Garmisch-Partenkirchen Gesundheitsamt;;Äskulab;;true;true;false;true;true;true;false;false
Digitalisierung des Gesundheitsamtes;Modellprojekt (MP);Bayern;Dachau;01.10.2022;30.09.2024;554.000,00;BY-P512MP10043;Gesundheitsamt Dachau;;Climedo, Sormas, RPA;;true;true;true;true;true;true;false;false
Digitalisierung GA SW;Modellprojekt (MP);Bayern;Schweinfurt;01.08.2022;31.07.2024;579.911,44;BY-P512MP10047;Landkreis Schweinfurt;Schuleingangsuntersuchung;Sormas, Äskulab, RPA;;true;true;true;false;false;false;false;false
Infektionsschutz Neu + Sicher Denken - im Gesundheitsamt Coburg;Modellprojekt (MP);Bayern;Coburg;01.10.2022;30.09.2024;435.166,65;BY-P512MP10049;Gesundheitsamt Coburg;Trink- und Badewasserprüfung, Schuleingangsuntersuchung;DEMIS, PICTURE, RPA;;true;true;true;false;false;false;true;true
Digitalisierung des Gesundheitsamtes Regen;Modellprojekt (MP);Bayern;Regen;01.10.2022;30.09.2024;395.109,00;BY-P512MP10061;Gesundheitsamt Regen;;;;true;true;true;false;true;true;false;false
Einführung der elektronischen Aktenführung und Digitalisierung der Verwaltungsprozesse im Gesundheitsamt Altötting;Modellprojekt (MP);Bayern;Altötting;01.10.2022;30.09.2024;448.609,90;BY-P512MP10064;Landratsamt Altötting;;Sormas, DEMIS, ISGA, RPA;;true;true;true;false;false;false;false;false
Digitalisierung und Datenschutz in Main-Spessart;Modellprojekt (MP);Bayern;Karlstadt;01.10.2022;30.09.2024;521.039,00;BY-P512MP10069;Landratsamt Main-Spessart;;DEMIS;;true;false;true;false;true;false;false;true
Digitalisierung des Gesundheitsamtes;Modellprojekt (MP);Bayern;Bad Reichenhall;01.10.2022;30.09.2024;317.575,00;BY-P512MP10070;Gesundheitsamt Berchtesgadener Land;;ISGA, RPA;;false;true;false;false;false;true;false;false
Digitalisierung des Gesundheitsamts Freyung-Grafenau – Digitales Feuer entfachen;Modellprojekt (MP);Bayern;Waldkirchen;01.10.2022;30.09.2024;727.500,00;BY-P512MP10071;Landkreis Freyung-Grafenau (für Abt. Gesundheitswesen / Gesundheitsamt);;Climedo, Survnet, RPA;;true;true;true;false;false;true;false;true
Staatliches Gesundheitsamt Augsburg: Systematische Koordination Aufwertender Leistungen;Modellprojekt (MP);Bayern;Augsburg;01.01.2022;31.12.2023;265.400,00;BY-P512MP10074;Staatliches Gesundheitsamt Augsburg im Landratsamt Augsburg;;Sormas, Äskulab, RPA;;true;false;true;false;false;false;false;false
Digitalisierung des Sachgebiets Gesundheit der Regierung von Oberfranken;Modellprojekt (MP);Bayern;Bayreuth;01.10.2022;30.09.2024;208.000,00;BY-P512MP10077;Regierung von Oberfranken, SG 53.1 Gesundheit;;;;true;true;false;true;true;false;false;false
Digitalisierung des Sachgebietes 53 (Gesundheit) an der Regierung der Oberpfalz;Modellprojekt (MP);Bayern;Regensburg;04.10.2022;03.10.2024;247.500,00;BY-P512MP10078;Regierung der Oberpfalz;;;;true;true;false;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Oberallgäu;Modellprojekt (MP);Bayern;Sonthofen;01.10.2022;30.09.2024;566.500,00;BY-P512MP10079;Landratsamt Oberallgäu;;;;false;false;true;false;true;false;false;false
Projekt zur Effizienzsteigerung und Flexibilisierung des Gesundheitsamtes Ansbach durch digitale Komponenten;Modellprojekt (MP);Bayern;Ansbach;01.10.2022;30.09.2024;573.597,22;BY-P512MP10082;Gesundheitsamt Ansbach;;;;true;false;true;false;false;false;false;false
Fahrplan zur digitalen Transformation des Gesundheitsamtes im Landratsamt Wunsiedel i. Fichtelgebirge;Modellprojekt (MP);Bayern;Wunsiedel;01.10.2022;30.09.2024;370.000,00;BY-P512MP10085;Fachbereich Gesundheitswesen - Landratsamt Wunsiedel i. Fichtelgebirge;;ISGA, PICTURE, enaio/mikado/mikropro;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Bamberg;Modellprojekt (MP);Bayern;Bamberg;01.10.2022;30.09.2024;515.000,00;BY-P512MP10086;Gesundheitsamt Bamberg;;;;true;false;false;true;true;false;false;false
Gesundheitsamt Kitzingen Digital;Modellprojekt (MP);Bayern;Kitzingen;01.10.2022;30.09.2024;656.563,40;BY-P512MP10089;Gesundheitsamt Kitzingen (Landratsamt Kitzingen);;Climedo, Survnet;;true;true;false;false;true;false;false;false
Digitalisierung der Regierung von Niederbayern/ Sachgebiet Gesundheit;Modellprojekt (MP);Bayern;Landshut;01.10.2022;30.09.2024;287.000,00;BY-P512MP10092;Regierung von Niederbayern/ Sachgebiet Gesundheit;;;;false;true;true;false;true;false;false;false
Cham – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Cham;01.10.2022;30.09.2024;412.776,56;BY-P512MP10093;Landratsamt Cham;;;;true;true;true;false;false;false;false;false
Entwicklung und Umsetzung einer digitalen Roadmap zur Optimierung von Geschäftsprozessen, der Datenhaltung und der Kommunikation innerhalb des Gesundheitsamtes und mit externen Stakeholdern;Modellprojekt (MP);Bayern;Bad Kissingen;01.10.2022;30.09.2024;382.811,00;BY-P512MP10095;Landratsamt Bad Kissingen Gesundheitsamt;;;;true;false;false;true;false;false;false;false
Digitalisierung und Ausweitung der Nutzung von ISGA am Gesundheitsamt Bad Tölz-Wolfratshausen;Modellprojekt (MP);Bayern;Bad Tölz-Wolfratshausen;01.10.2022;30.09.2024;192.386,22;BY-P512MP10097;Gesundheitsamt Bad Tölz-Wolfratshausen;Trink- und Badewasserprüfung, Schuleingangsuntersuchung;ISGA;;true;false;false;false;false;true;false;false
Maßnahmenpaket zur Digitalisierung des Gesundheitsamt der Stadt Memmingen;Modellprojekt (MP);Bayern;Memmingen;01.10.2022;30.09.2024;229.067,60;BY-P512MP10106;Stadt Memmingen;;Sormas, Climedo, DEMIS, Survnet;;false;false;true;true;false;true;false;true
Das digitale, flexible und kundenfreundliche Gesundheitsamt Unterallgäu;Modellprojekt (MP);Bayern;Mindelheim;01.10.2022;30.09.2024;449.000,00;BY-P512MP10109;Gesundheitsamt Unterallgäu;Impfungen, Gesundheitsberatung;Sormas, DEMIS, RPA, enaio/mikado/mikropro;;true;false;false;false;true;false;false;false
Landsratsamt Regensburg - digitales Gesundheitsamt für Stadt und Landkreis;Modellprojekt (MP);Bayern;Regensburg;01.10.2022;30.09.2024;935.459,87;BY-P512MP10111;Landsratsamt Regensburg, Gesundheitsat für Stadt und Landkreis;;;;true;false;true;false;false;false;false;false
Neumarkt i.d.OPf. – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Neumarkt i.d. Oberpfalz;01.10.2022;30.09.2024;493.120,77;BY-P512MP10113;Landratsamt Neumarkt in der Oberpfalz;Trink- und Badewasserprüfung, Schuleingangsuntersuchung;DEMIS, Äskulab;;true;false;false;false;false;true;true;true
ÖGD Digitalisierungsplanung mit Schwerpunkt auf prozessual gesteuerten und systemgestützten Vorgangsbearbeitungen;Modellprojekt (MP);Bayern;Pfaffenhofen a. d. Ilm;01.10.2022;30.09.2024;792.000,00;BY-P512MP10143;Gesundheitsamt Pfaffenhofen;;Climedo, DEMIS, Survnet, ISGA, RPA, enaio/mikado/mikropro;;true;false;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes;Modellprojekt (MP);Bayern;München;01.10.2022;30.09.2024;1.151.906,40;BY-P512MP10147;Landratsamt München, Referat 3.2 – Staatliches Gesundheitsamt;;Climedo, DEMIS, Survnet, RPA;;false;true;true;false;false;true;false;false
Digitalisierung des Gesundheitsamtes Lichtenfels;Modellprojekt (MP);Bayern;Lichtenfels;01.10.2022;30.09.2024;392.816,50;BY-P512MP10148;Landratsamt Lichtenfels;;Sormas, ISGA;;true;true;true;false;true;false;false;false
Analoges Gesundheitsamt wird digital ad acta gelegt!;Modellprojekt (MP);Bayern;Aschaffenburg;01.10.2022;30.09.2024;745.535,28;BY-P512MP10151;Landsratsamt Aschaffenburg - Gesundheitsamt für den Landkreis und die Stadt Aschaffenburg;;DEMIS, PICTURE, RPA;;true;false;false;false;false;true;false;false
Dingolfing-Landau – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Dingolfing;01.10.2022;30.09.2024;340.486,20;BY-P512MP10152;Landratsamt Dingolfing-Landau;Gesundheitsberatung;Climedo;;true;true;true;false;false;false;false;false
Landkreis Kulmbach – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Kulmbach;01.10.2022;30.09.2024;396.930,40;BY-P512MP10154;Landkreis Kulmbach – digitales Gesundheitsamt;;;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsreferates der Landeshauptstadt München;Modellprojekt (MP);Bayern;München;01.07.2022;30.06.2024;7.499.426,51;BY-P512MP10158;Landeshauptstadt München, Gesundheitsreferat;Trink- und Badewasserprüfung, Impfungen;DEMIS, RPA;;true;false;false;false;false;true;false;true
Digitalisierung des Gesundheitsamtes Günzburg;Modellprojekt (MP);Bayern;Günzburg;01.10.2022;30.09.2024;503.895,00;BY-P512MP10159;Gesundheitsamt Günzburg;;;;true;true;true;false;true;false;false;false
Digitalisierung des Gesundheitsamtes Freising oder „Keine Faxen im GA Freising“;Modellprojekt (MP);Bayern;Freising;01.04.2022;31.03.2024;810.891,00;BY-P512MP10165;Gesundheitsamt Freising;;Sormas, Climedo, DEMIS, Survnet;;false;true;true;false;false;true;false;false
Projekt zur Steigerung digitaler Reife & der Zufriedenheit durch klare Prozesse, Interoperabilität, mobile Endgeräte und Software;Modellprojekt (MP);Bayern;Erding;01.10.2022;30.09.2024;938.113,62;BY-P512MP10169;Gesundheitsamt Erding;;Sormas, Climedo, Äskulab;;false;false;true;true;false;false;false;true
Maßnahmen im Gesundheitsamt vom LRA Starnberg;Modellprojekt (MP);Bayern;Starnberg;29.09.2020;30.09.2024;292.114,69;BY-P512MP10170;Landratsamt Starnberg;;Survnet;;true;false;true;false;false;false;false;false
Miltenberg – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Miltenberg;01.10.2022;30.09.2024;422.560,00;BY-P512MP10172;Landratsamt Miltenberg;;DEMIS, Survnet;;true;false;true;false;false;false;false;true
Bayreuth – digitales Gesundheitsamt für Stadt und Landkreis;Modellprojekt (MP);Bayern;Bayreuth;01.10.2022;30.09.2024;550.874,60;BY-P512MP10176;Landratsamt Bayreuth;;Sormas, DEMIS;;true;true;true;false;false;false;false;false
Digitalisierung der Regierung von Schwaben / Sachgebiet 53 (Gesundheit);Modellprojekt (MP);Bayern;Augsburg;01.10.2022;30.09.2024;167.580,00;BY-P512MP10181;Regierung von Schwaben / Sachgebiet 53 (Gesundheit);;;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes;Modellprojekt (MP);Bayern;Kehlheim;01.10.2022;30.09.2024;261.000,00;BY-P512MP10189;Landratsamt Kelheim - Gesundheitsamt;;;;true;false;false;true;false;false;false;false
Digitalisierung Gesundheitsamt Kronach;Modellprojekt (MP);Bayern;Kronach;01.10.2022;30.09.2024;258.410,00;BY-P512MP10192;Landratsamt Kronach, Gesundheitsamt (Sachgebiet 42);;ISGA;;true;false;false;false;true;true;false;false
Tirschenreuth – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Tirschenreuth;01.10.2022;30.09.2024;304.400,89;BY-P512MP10193;Landratsamt Tirschenreuth;;;;true;true;true;false;false;false;false;false
Nürnberger Land – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Lauf an der Pegnitz;01.10.2022;30.09.2024;521.770,63;BY-P512MP10201;Landratsamt Nürnberger Land;Schuleingangsuntersuchung;;;true;true;true;false;false;false;false;false
Amberg-Sulzbach – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Amberg;01.10.2022;30.09.2024;470.853,80;BY-P512MP10204;Landratsamt Amberg-Sulzbach;;RPA;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Weilheim-Schongau;Modellprojekt (MP);Bayern;Weilheim in Oberbayern;01.10.2022;30.09.2024;500.000,00;BY-P512MP10207;Landratsamt Weilheim-Schongau, Gesundheitsamt;;DEMIS, Survnet;;false;true;true;false;true;false;false;false
Digitalisierung des Gesundheitsamts Würzburg „Wir für 25“;Modellprojekt (MP);Bayern;Würzburg;01.10.2022;30.09.2024;2.007.500,00;BY-P512MP10208;Gesundheitsamt für Stadt und Landkreis Würzburg (FB 61) – Landratsamt Würzburg;;;;true;true;true;false;false;true;false;true
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes;Modellprojekt (MP);Bayern;Bad Neustadt a. d. Saale;01.10.2022;31.10.2024;550.000,00;BY-P512MP10210;Landratsamt Bad Neustadt a. d. Saale - Gesundheitsamt;Belehrung;Äskulab;;true;true;false;false;false;true;false;true
Weißenburg-Gunzenhausen – digitales Gesundheitsamt;Modellprojekt (MP);Bayern;Weißenburg in Bayern;01.10.2022;30.09.2024;331.550,80;BY-P512MP10218;Landratsamt Weißenburg-Gunzenhausen;;Sormas, RPA;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Dillingen a.d.Donau;Modellprojekt (MP);Bayern;Dillingen a.d. Donau;01.01.2022;31.12.2023;336.000,00;BY-P512MP10225;Landratsamt Dillingen a.d.Donau, Gesundheitsamt;;Sormas;;true;false;false;true;false;false;false;false
Digitalisierung der Regierung Mittelfranken – SG 53;Modellprojekt (MP);Bayern;Ansbach;01.07.2022;30.06.2024;421.498,50;BY-P512MP10227;Regierung von Mittelfranken;;;;true;false;true;false;false;false;false;false
Digitalisierung Gesundheitsamt Augsburg-Stadt;Modellprojekt (MP);Bayern;Augsburg;01.10.2022;30.09.2024;846.345,00;BY-P512MP10235;Stadt Augsburg - Gesundheitsamt;Impfungen, Schuleingangsuntersuchung;DEMIS, ISGA, RPA;;true;true;true;false;true;false;false;false
